Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
1990-10,Price,0.212,,,,Pounds per litre
2000-04,Protein,,,3.22,,Percentage
2005-03,Price,0.1832,,,,Pounds per litre
2011-04,Protein,,,3.22,,Percentage
1978-09,Price,0.1059,,,,Pounds per litre
2016-03,Price,0.22440000000000002,,,,Pounds per litre
2017-03,Volume,,1284.0,,,Million litres
1989-09,Price,0.2189,,,,Pounds per litre
2006-03,Volume,,1178.0,,,Million litres
2010-03,Protein,,,3.24,,Percentage
2004-02,Price,0.1868,,,,Pounds per litre
1977-08,Price,0.0978,,,,Pounds per litre
2018-04,Volume,,1285.0,,,Million litres
2015-02,Price,0.2606,,,,Pounds per litre
1988-08,Price,0.1945,,,,Pounds per litre
2003-12,Price,0.19149999999999998,,,,Pounds per litre
1999-08,Price,0.198,,,,Pounds per litre
2007-04,Volume,,1204.0,,,Million litres
2014-12,Price,0.2768,,,,Pounds per litre
2003-01,Price,0.17670000000000002,,,,Pounds per litre
1976-07,Price,0.0859,,,,Pounds per litre
2014-01,Price,0.3387,,,,Pounds per litre
1987-07,Price,0.16219999999999998,,,,Pounds per litre
2020-02,Protein,,,3.37,,Percentage
2019-05,Volume,,1395.0,,,Million litres
2008-05,Volume,,1226.0,,,Million litres
2002-11,Price,0.1809,,,,Pounds per litre
1998-07,Price,0.2066,,,,Pounds per litre
1975-06,Price,0.0647,,,,Pounds per litre
2013-11,Price,0.3452,,,,Pounds per litre
1986-06,Price,0.13419999999999999,,,,Pounds per litre
2009-06,Volume,,1130.0,,,Million litres
2001-10,Price,0.2046,,,,Pounds per litre
1997-06,Price,0.2071,,,,Pounds per litre
2012-10,Price,0.29100000000000004,,,,Pounds per litre
1974-05,Price,0.04650000000000001,,,,Pounds per litre
1985-05,Price,0.12710000000000002,,,,Pounds per litre
1996-05,Price,0.2266,,,,Pounds per litre
1995-03,Volume,,1077.0,,,Million litres
1973-04,Price,0.0466,,,,Pounds per litre
1984-04,Price,0.138,,,,Pounds per litre
2005-09,Protein,,,3.33,,Percentage
2016-09,Protein,,,3.32,,Percentage
1995-04,Price,0.22460000000000002,,,,Pounds per litre
1996-04,Volume,,1191.0,,,Million litres
1972-03,Price,0.0472,,,,Pounds per litre
2007-05,Volume,,1258.0,,,Million litres
2015-01,Price,0.2646,,,,Pounds per litre
1988-07,Price,0.1816,,,,Pounds per litre
1999-07,Price,0.19760000000000003,,,,Pounds per litre
2020-01,Protein,,,3.36,,Percentage
